Commit,File,Scope
https://github.com/alacritty/alacritty/commit/3bd5ac221ab3b122962063edd1f4c10f9f2d117f,content.rs,3-Struct
https://github.com/alacritty/alacritty/commit/4380d0864b1098909bdcfec132b866c34924517e,selection.rs,2-Struct
https://github.com/alacritty/alacritty/commit/56fea343ff94b23aa94f8756643c015f20517e8f,window.rs,1-Struct
https://github.com/alacritty/alacritty/commit/8018dee1812ab88793c0f18e13335fa77c068000,selection.rs,0-Struct
https://github.com/alacritty/alacritty/commit/b9ad0cfad30c6fd1328658d8195f552f24df6ff9,mod.rs,0-Struct
https://github.com/alacritty/alacritty/commit/be09467d48a5b7644411c2a09d948ee89509894e,event.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/3cbce2c505b221ca66ebb08e8205eea2ef896843,manager.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/90b5eca5d9797ce9d7d23bc20572eb56c37e7f7b,notifier.rs,0-Struct
https://github.com/denoland/deno/commit/015f252066c21bd6d36e5b4d58a34dd40e4c0db0,lib.rs,5-Struct
https://github.com/denoland/deno/commit/43cd0459b9ca383f18ca5b01b8c48e77737c3f1d,proc_state.rs,1-Struct
https://github.com/denoland/deno/commit/960f9ccb2e700332dc576163b62c518120c73f15,swc_util.rs,6-Struct
https://github.com/denoland/deno/commit/a4d557126e49108db4c0dc42561ae032d2418b04,sources.rs,0-Struct
https://github.com/denoland/deno/commit/e574437922db0693e7be7a5df7c474f306e55f7b,inspector.rs,1-Struct
https://github.com/denoland/deno/commit/e5beb800c94099852964d482a32a13f5c29ec147,inspector.rs,1-Struct
https://github.com/firecracker-microvm/firecracker/commit/12a7a90faaa063285df1afe51fc33c51f8d9e081,vm.rs,2-Struct
https://github.com/firecracker-microvm/firecracker/commit/4a4a6478f61183224061ac6fefd076e6aa837944,lib.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/1639a7338d6b863958b965c16a9a5483bc835da4,schema.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/99551fc21b72b1475cf3f732d5096bc6879e9d3a,mod.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/a45cc4b6189c2eb40758b9749c3d1c8b19b88d40,mod.rs,4-Struct
https://github.com/meilisearch/meilisearch/commit/b258f4f394270ba3bc998a7f13d42312cae4675b,dump.rs,0-Struct
https://github.com/nushell/nushell/commit/57af9b5040c8b8f682a2ebdae4f6cfef48df9ad4,binary.rs,0-Struct
https://github.com/nushell/nushell/commit/7efb31a4e4887a66c0ac4a13228ef904fd8de9e5,color_trace.rs,1-Struct
https://github.com/nushell/nushell/commit/88817a8f104a9815c9554c6d25f1fa4fe115eb80,scope.rs,0-Struct
https://github.com/nushell/nushell/commit/9b99b2f6ac398ff505e1ec7834c32289a5d62d70,import_pattern.rs,0-Struct
https://github.com/nushell/nushell/commit/f70c6d5d485a1d533fee15a7d5af6275b2e1ee96,edit.rs,0-Struct
https://github.com/ogham/exa/commit/adbaa51cb9421df43625b96ea3ea39b455fd5ee4,main.rs,0-Struct
https://github.com/rust-lang/rust/commit/07ebc13d87796622bb6e4ac46a7e6a054bc4c680,context.rs,0-Struct
https://github.com/SergioBenitez/Rocket/commit/2f35b235149bfea3f02b42e9331fa0498edf60df,main.rs,0-Struct
https://github.com/SergioBenitez/Rocket/commit/4f3511786cb8b6540124b867591c7c5a6933409e,client.rs,0-Struct
https://github.com/swc-project/swc/commit/0723ee282861a1e648490989c122d5f4e683dc35,import.rs,0-Struct
https://github.com/swc-project/swc/commit/4ff6d4ed4abbdbebf92a75c64c2b0fc5b374de0f,state.rs,1-Struct
https://github.com/swc-project/swc/commit/7fe2245a3db25700b0d2e79026f3c751bcc38c3c,emitter.rs,1-Struct
https://github.com/swc-project/swc/commit/87815277515041eb5874b68775096ecd75b2672f,document.rs,0-Struct
https://github.com/swc-project/swc/commit/9a07869c21ba272306dcd0155409f7af9ad6393b,graph.rs,0-Struct
https://github.com/swc-project/swc/commit/a1629d39979e15fa74c2caac409d423fcf3676ad,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/cebc5dc148fa4c03a536a841a106955de18b010b,mod.rs,0-Struct
https://github.com/swc-project/swc/commit/fb08c18f7e184c5581252f068f55fc3b6e5fd09d,expr.rs,2-Struct
https://github.com/tauri-apps/tauri/commit/5d538ec27c246274df4ff5b8057ff78b6364a43f,window.rs,2-Struct
https://github.com/tauri-apps/tauri/commit/fd8fab507c8fa1b113b841af14c6693eb3955f6b,lib.rs,14-Struct
https://github.com/tokio-rs/tokio/commit/27e5b41067d01c0c9fac230c5addb58034201a63,spawner.rs,0-Struct
https://github.com/xi-editor/xi-editor/commit/a66bbd68037e392074ed69be5d3b84bc59c4ed44,rpc.rs,0-Struct
https://github.com/yewstack/yew/commit/1507c21b39e7941f7b9fe8ff5af792cf55be1f6f,tag_attributes.rs,0-Struct
https://github.com/yewstack/yew/commit/2412a68beecfd6864184766de53ee9778462f9f4,main.rs,0-Struct
https://github.com/yewstack/yew/commit/429d9674afe5403b730cbc0e4976ce67448b8caf,vcomp.rs,0-Struct
https://github.com/yewstack/yew/commit/7f8b0397ff7ab21697b08662bda61b1458b5c458,person.rs,0-Struct
https://github.com/yewstack/yew/commit/d38ce422f9f65f6a69d715d3207279c829d220e3,vtag.rs,0-Struct
