Commit,File,Scope
https://github.com/alacritty/alacritty/commit/0d16478f5d997b6da5488885e15bfb09ca8e7f6d,input.rs,0-Struct
https://github.com/alacritty/alacritty/commit/1723e30d25f0c6068f9532448b016a89aa491a95,ansi.rs,0-Struct
https://github.com/alacritty/alacritty/commit/2920cbe7103f03a45080bfb7610bd7f481f36361,mod.rs,6-Struct
https://github.com/alacritty/alacritty/commit/3c5d46c8518fb6a1a6e1679ba3a2cc8815f37d3c,grid.rs,0-Struct
https://github.com/alacritty/alacritty/commit/4975be29df848db9b339b5390290e4eb2ac8e140,storage.rs,0-Struct
https://github.com/alacritty/alacritty/commit/5b444375f22927c3661c331f3f37519940204bc0,pattern.rs,2-Struct
https://github.com/alacritty/alacritty/commit/66dbd29cd194a4c84f796f32827429895c2a3bba,grid.rs,0-Struct
https://github.com/alacritty/alacritty/commit/7f1c1efe474851a129e4a2e5bc012d9b76ed2ed0,mod.rs,3-Struct
https://github.com/alacritty/alacritty/commit/d25134bc6b8b13d5ff550c950c65b6e9c4a7a267,color.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/635f6b86078765cab4bf20b240f3e53374431e17,export.rs,2-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/8eaec5e58c84066ff24c7dbe5b17e28cf2ae3aa5,mod.rs,1-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/ce8805aff8edf98bbfbeb3e3cd0d657dc368cb37,observable.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/d1b7fd29a6ad1108534969b59ac812981e3ce6eb,app_delete.rs,1-Struct
https://github.com/denoland/deno/commit/36fde75d779078118af3b2b6c078bcbfb47b1a0f,isolate.rs,2-Struct
https://github.com/denoland/deno/commit/41a3b17de44684365ddad9ba0ad9d9c488d3b065,diagnostics.rs,0-Struct
https://github.com/denoland/deno/commit/4ca77ad84c46ba4afef95f0b6775377d350b7339,coverage.rs,2-Struct
https://github.com/denoland/deno/commit/4d18f558e4cfebc5b8d9d594401e3ce74fc3226b,error.rs,3-Struct
https://github.com/denoland/deno/commit/57f163510aafd5c045dda0fa5e505d0cc7042a5a,module_specifier.rs,0-Struct
https://github.com/denoland/deno/commit/81f8585643faf42edab45f9e8604a0c1d9c7486a,tsc.rs,7-Struct
https://github.com/denoland/deno/commit/a020ebde2d9c69a1e2616c96f907866d417f2e0f,config.rs,2-Struct
https://github.com/denoland/deno/commit/aab02805dd00a2dd661f141333d7ec6f347b204d,http_body.rs,0-Struct
https://github.com/denoland/deno/commit/b0a23beb8fae964be3cdd8c23c38af66257d34c7,js_errors.rs,0-Struct
https://github.com/denoland/deno/commit/b6dd850f71c029a3d82eb10c2528380b0ed4bc71,async_cell.rs,0-Struct
https://github.com/denoland/deno/commit/b77fcbc518428429e39f5ba94e41fcd0418ee7a0,tsc.rs,2-Struct
https://github.com/denoland/deno/commit/bb99d5da4c9d7d17e08097d004bf36f0976a678c,modules.rs,5-Struct
https://github.com/denoland/deno/commit/c3a205bae854edc02f10bcaa292b0e2694baabc8,worker.rs,2-Struct
https://github.com/denoland/deno/commit/d4f2fda62331164b09290f2df1500b948f2647a7,modules.rs,2-Struct
https://github.com/denoland/deno/commit/d81128109fd9107afb19b4abf789e311b1a09ab3,web_worker.rs,3-Struct
https://github.com/denoland/deno/commit/f57a2c1e85387afe48b7bdb57176dafb156bb86e,modules.rs,5-Struct
https://github.com/firecracker-microvm/firecracker/commit/55f633322757a6efb9bdf807144646857d3092a9,bus.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/8a153414b50f245e6ebd7352e686793dd5c490e2,basic.rs,1-Struct
https://github.com/firecracker-microvm/firecracker/commit/98e3028efa2627544488a28ff63ceebc6cbc2ddf,lib.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/9d87322154d2001b19001fc806be5cce59146ad5,resources.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/a85d56fe19dc79d5af83022d496e067845c3528e,lib.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/eab64a09c4c1c8e22ceeab73d29194c8015fb964,lib.rs,1-Struct
https://github.com/meilisearch/meilisearch/commit/4626c77eac1b6fa4811b7079bfb8f768d8bdb96b,document_key.rs,1-Struct
